id,tool,correctness,project,bug,base_dir,main_dep,tests_build,tests_src_dir,target_test,target_test_methods,target_class,input_class
Chart_4_repairllama-ir4_patch_0.diff,repairllama,Correct,Chart,4,Chart/4,build,build-tests,tests,org.jfree.chart.plot.junit.XYPlotTests,testDrawRangeGridlines,org.jfree.chart.plot.XYPlot,int
Math_70_repairllama-ir4_patch_8.diff,repairllama,Correct,Math,70,Math/70,target/classes,target/test-classes,src/test/java,org.apache.commons.math.analysis.solvers.BisectionSolverTest,testMath369,org.apache.commons.math.analysis.solvers.BisectionSolver,double
Chart_26_repairllama-ir4_patch_0.diff,repairllama,Correct,Chart,26,Chart/26,build,build-tests,tests,org.jfree.chart.junit.AreaChartTests,testDrawWithNullInfo,org.jfree.chart.axis.Axis,int
Math_85_repairllama-ir4_patch_0.diff,repairllama,Correct,Math,85,Math/85,target/classes,target/test-classes,src/test,org.apache.commons.math.distribution.NormalDistributionTest,testMath280,org.apache.commons.math.analysis.solvers.UnivariateRealSolverUtils,double
Closure_13_repairllama-ir4_patch_3.diff,repairllama,Correct,Closure,13,Closure/13,build/classes:lib/*:build/lib/rhino.jar,build/test,test,com.google.javascript.jscomp.IntegrationTest,testIssue787,com.google.javascript.jscomp.PeepholeOptimizationsPass,java.lang.String
Closure_86_repairllama-ir4_patch_1.diff,repairllama,Correct,Closure,86,Closure/86,build/classes:lib/*:build/lib/rhino.jar,build/test,test,com.google.javascript.jscomp.NodeUtilTest,testLocalValue1,com.google.javascript.jscomp.NodeUtil,java.lang.String
Closure_10_repairllama-ir4_patch_1.diff,repairllama,Correct,Closure,10,Closure/10,build/classes:lib/*:build/lib/rhino.jar,build/test,test,com.google.javascript.jscomp.PeepholeFoldConstantsTest,testIssue821,com.google.javascript.rhino.Node,java.lang.String
Chart_7_repairllama-ir4_patch_0.diff,repairllama,Correct,Chart,7,Chart/7,build,build-tests,tests,org.jfree.data.time.junit.TimePeriodValuesTests,testGetMaxMiddleIndex,org.jfree.data.time.TimePeriodValues,long
Math_30_repairllama-ir4_patch_1.diff,repairllama,Correct,Math,30,Math/30,target/classes,target/test-classes,src/test/java,org.apache.commons.math3.stat.inference.MannWhitneyUTestTest,testBigDataSet,org.apache.commons.math3.stat.inference.MannWhitneyUTest,double
Math_79_repairllama-ir4_patch_8.diff,repairllama,Correct,Math,79,Math/79,target/classes,target/test-classes,src/test/java,org.apache.commons.math.stat.clustering.KMeansPlusPlusClustererTest,testPerformClusterAnalysisDegenerate,org.apache.commons.math.stat.clustering.KMeansPlusPlusClusterer,int
Chart_20_repairllama-ir4_patch_0.diff,repairllama,Correct,Chart,20,Chart/20,build,build-tests,tests,org.jfree.chart.plot.junit.ValueMarkerTests,test1808376,org.jfree.chart.plot.ValueMarker,int
Lang_45_repairllama-ir4_patch_4.diff,repairllama,Correct,Lang,45,Lang/45,target/classes,target/test-classes,src/test,org.apache.commons.lang.WordUtilsTest,testAbbreviate,org.apache.commons.lang.WordUtils,java.lang.String
Mockito_29_repairllama-ir4_patch_4.diff,repairllama,Correct,Mockito,29,Mockito/29,target/classes:lib/test/*:lib/sources/*:lib/repackaged/*:lib/run/*,target/test-classes,test,org.mockitousage.bugs.NPEWithCertainMatchersTest,shouldNotThrowNPEWhenNullPassedToSame,org.mockito.internal.matchers.Same,java.lang.String
Math_75_repairllama-ir4_patch_2.diff,repairllama,Correct,Math,75,Math/75,target/classes,target/test-classes,src/test/java,org.apache.commons.math.stat.FrequencyTest,testPcts,org.apache.commons.math.stat.Frequency,long
Chart_26_repairllama-ir4_patch_2.diff,repairllama,Correct,Chart,26,Chart/26,build,build-tests,tests,org.jfree.chart.junit.AreaChartTests,testDrawWithNullInfo,org.jfree.chart.axis.Axis,int
Math_2_repairllama-ir4_patch_3.diff,repairllama,Correct,Math,2,Math/2,target/classes,target/test-classes,src/test/java,org.apache.commons.math3.distribution.HypergeometricDistributionTest,testMath1021,org.apache.commons.math3.distribution.AbstractIntegerDistribution,int
Math_95_repairllama-ir4_patch_2.diff,repairllama,Correct,Math,95,Math/95,target/classes,target/test-classes,src/test,org.apache.commons.math.distribution.FDistributionTest,testSmallDegreesOfFreedom,org.apache.commons.math.distribution.FDistributionImpl,double
Chart_11_repairllama-ir4_patch_7.diff,repairllama,Correct,Chart,11,Chart/11,build,build-tests,tests,org.jfree.chart.util.junit.ShapeUtilitiesTests,testEqualGeneralPaths,org.jfree.chart.util.ShapeUtilities,float
Math_57_repairllama-ir4_patch_0.diff,repairllama,Correct,Math,57,Math/57,target/classes,target/test-classes,src/test/java,org.apache.commons.math.stat.clustering.KMeansPlusPlusClustererTest,testSmallDistances,org.apache.commons.math.stat.clustering.EuclideanIntegerPoint,int
Lang_59_repairllama-ir4_patch_2.diff,repairllama,Correct,Lang,59,Lang/59,target/classes,target/tests,src/test,org.apache.commons.lang.text.StrBuilderAppendInsertTest,testLang299,org.apache.commons.lang.text.StrBuilder,java.lang.String
Chart_11_repairllama-ir4_patch_0.diff,repairllama,Correct,Chart,11,Chart/11,build,build-tests,tests,org.jfree.chart.util.junit.ShapeUtilitiesTests,testEqualGeneralPaths,org.jfree.chart.util.ShapeUtilities,float
Math_41_repairllama-ir4_patch_5.diff,repairllama,Correct,Math,41,Math/41,target/classes,target/test-classes,src/test/java,org.apache.commons.math.stat.descriptive.UnivariateStatisticAbstractTest,testEvaluateArraySegmentWeighted,org.apache.commons.math.stat.descriptive.moment.Mean,int
Math_41_repairllama-ir4_patch_0.diff,repairllama,Correct,Math,41,Math/41,target/classes,target/test-classes,src/test/java,org.apache.commons.math.stat.descriptive.UnivariateStatisticAbstractTest,testEvaluateArraySegmentWeighted,org.apache.commons.math.stat.descriptive.moment.Mean,int
Math_85_repairllama-ir4_patch_4.diff,repairllama,Correct,Math,85,Math/85,target/classes,target/test-classes,src/test,org.apache.commons.math.distribution.NormalDistributionTest,testMath280,org.apache.commons.math.analysis.solvers.UnivariateRealSolverUtils,double
Chart_7_repairllama-ir4_patch_9.diff,repairllama,Correct,Chart,7,Chart/7,build,build-tests,tests,org.jfree.data.time.junit.TimePeriodValuesTests,testGetMaxMiddleIndex,org.jfree.data.time.TimePeriodValues,long
Math_79_repairllama-ir4_patch_0.diff,repairllama,Correct,Math,79,Math/79,target/classes,target/test-classes,src/test/java,org.apache.commons.math.stat.clustering.KMeansPlusPlusClustererTest,testPerformClusterAnalysisDegenerate,org.apache.commons.math.stat.clustering.KMeansPlusPlusClusterer,int
Chart_26_repairllama-ir4_patch_9.diff,repairllama,Correct,Chart,26,Chart/26,build,build-tests,tests,org.jfree.chart.junit.AreaChartTests,testDrawWithNullInfo,org.jfree.chart.axis.Axis,int
Closure_62_repairllama-ir4_patch_0.diff,repairllama,Correct,Closure,62,Closure/62,build/classes:lib/*:build/lib/rhino.jar,build/test,test,com.google.javascript.jscomp.LightweightMessageFormatterTest,testFormatErrorSpaceEndOfLine1,com.google.javascript.jscomp.LightweightMessageFormatter,java.lang.String
Math_41_repairllama-ir4_patch_8.diff,repairllama,Correct,Math,41,Math/41,target/classes,target/test-classes,src/test/java,org.apache.commons.math.stat.descriptive.UnivariateStatisticAbstractTest,testEvaluateArraySegmentWeighted,org.apache.commons.math.stat.descriptive.moment.Mean,int
Math_82_repairllama-ir4_patch_0.diff,repairllama,Correct,Math,82,Math/82,target/classes,target/test-classes,src/test/java,org.apache.commons.math.optimization.linear.SimplexSolverTest,testMath288,org.apache.commons.math.optimization.linear.SimplexSolver,double
Math_58_repairllama-ir4_patch_5.diff,repairllama,Correct,Math,58,Math/58,target/classes,target/test-classes,src/test/java,org.apache.commons.math.optimization.fitting.GaussianFitterTest,testMath519,org.apache.commons.math.optimization.general.LevenbergMarquardtOptimizer,double
Lang_10_repairllama-ir4_patch_0.diff,repairllama,Correct,Lang,10,Lang/10,target/classes,target/test-classes,src/test,org.apache.commons.lang3.time.FastDateParserTest,testLANG_831,org.apache.commons.lang3.time.FastDateParser,java.lang.String
Chart_11_repairllama-ir4_patch_8.diff,repairllama,Correct,Chart,11,Chart/11,build,build-tests,tests,org.jfree.chart.util.junit.ShapeUtilitiesTests,testEqualGeneralPaths,org.jfree.chart.util.ShapeUtilities,float
Chart_9_repairllama-ir4_patch_7.diff,repairllama,Correct,Chart,9,Chart/9,build,build-tests,tests,org.jfree.data.time.junit.TimeSeriesTests,testBug1864222,org.jfree.data.time.TimeSeries,int
Math_69_repairllama-ir4_patch_8.diff,repairllama,Correct,Math,69,Math/69,target/classes,target/test-classes,src/test/java,org.apache.commons.math.stat.correlation.PearsonsCorrelationTest,testPValueNearZero,org.apache.commons.math.stat.correlation.PearsonsCorrelation,int
Chart_8_repairllama-ir4_patch_0.diff,repairllama,Correct,Chart,8,Chart/8,build,build-tests,tests,org.jfree.data.time.junit.WeekTests,testConstructor,org.jfree.data.time.junit.Week,java.lang.String
Closure_73_repairllama-ir4_patch_0.diff,repairllama,Correct,Closure,73,Closure/73,build/classes:lib/*:build/lib/rhino.jar,build/test,test,com.google.javascript.jscomp.CodePrinterTest,testUnicode,com.google.javascript.jscomp.Compiler,java.lang.String
Lang_33_repairllama-ir4_patch_1.diff,repairllama,Correct,Lang,33,Lang/33,target/classes,target/test-classes,src/test,org.apache.commons.lang3.ClassUtilsTest,testToClass_object,org.apache.commons.lang3.ClassUtils,java.lang.String
Math_80_repairllama-ir4_patch_0.diff,repairllama,Correct,Math,80,Math/80,target/classes,target/test-classes,src/test/java,org.apache.commons.math.linear.EigenDecompositionImplTest,testMathpbx02,org.apache.commons.math.linear.EigenDecompositionImpl,double
Chart_9_repairllama-ir4_patch_9.diff,repairllama,Correct,Chart,9,Chart/9,build,build-tests,tests,org.jfree.data.time.junit.TimeSeriesTests,testBug1864222,org.jfree.data.time.TimeSeries,int
Math_53_repairllama-ir4_patch_3.diff,repairllama,Correct,Math,53,Math/53,target/classes,target/test-classes,src/test/java,org.apache.commons.math.complex.ComplexTest,testAddNaN,org.apache.commons.math.complex.Complex,double
Chart_1_repairllama-ir4_patch_0.diff,repairllama,Correct,Chart,1,Chart/1,build,build-tests,tests,org.jfree.chart.renderer.category.junit.AbstractCategoryItemRendererTests,test2947660,org.jfree.chart.renderer.category.LineAndShapeRenderer,java.lang.String
Chart_26_repairllama-ir4_patch_4.diff,repairllama,Correct,Chart,26,Chart/26,build,build-tests,tests,org.jfree.chart.junit.AreaChartTests,testDrawWithNullInfo,org.jfree.chart.axis.Axis,int
Math_70_repairllama-ir4_patch_1.diff,repairllama,Correct,Math,70,Math/70,target/classes,target/test-classes,src/test/java,org.apache.commons.math.analysis.solvers.BisectionSolverTest,testMath369,org.apache.commons.math.analysis.solvers.BisectionSolver,double
Math_59_repairllama-ir4_patch_2.diff,repairllama,Correct,Math,59,Math/59,target/classes,target/test-classes,src/test/java,org.apache.commons.math.util.FastMathTest,testMinMaxFloat,org.apache.commons.math.util.FastMath,float
Lang_43_repairllama-ir4_patch_0.diff,repairllama,Correct,Lang,43,Lang/43,target/classes,target/test-classes,src/test,org.apache.commons.lang.text.ExtendedMessageFormatTest,testBuiltInDateTimeFormat,org.apache.commons.lang.text.ExtendedMessageFormat,int
Math_11_repairllama-ir4_patch_0.diff,repairllama,Correct,Math,11,Math/11,target/classes,target/test-classes,src/test/java,org.apache.commons.math3.distribution.MultivariateNormalDistributionTest,testUnivariateDistribution,org.apache.commons.math3.distribution.MultivariateNormalDistribution,double
Math_8_repairllama-ir4_patch_6.diff,repairllama,Correct,Math,8,Math/8,target/classes,target/test-classes,src/test/java,org.apache.commons.math3.distribution.DiscreteRealDistributionTest,testIssue942,org.apache.commons.math3.distribution.DiscreteDistribution,int
Closure_115_repairllama-ir4_patch_1.diff,repairllama,Correct,Closure,115,Closure/115,build/classes:lib/*:build/lib/rhino.jar,build/test,test,com.google.javascript.jscomp.InlineFunctionsTest,testBug4944818,com.google.javascript.jscomp.Compiler,java.lang.String
Chart_4_repairllama-ir4_patch_9.diff,repairllama,Correct,Chart,4,Chart/4,build,build-tests,tests,org.jfree.chart.plot.junit.XYPlotTests,testDrawRangeGridlines,org.jfree.chart.plot.XYPlot,int
Chart_26_repairllama-ir4_patch_5.diff,repairllama,Correct,Chart,26,Chart/26,build,build-tests,tests,org.jfree.chart.junit.AreaChartTests,testDrawWithNullInfo,org.jfree.chart.axis.Axis,int
Chart_9_repairllama-ir4_patch_4.diff,repairllama,Correct,Chart,9,Chart/9,build,build-tests,tests,org.jfree.data.time.junit.TimeSeriesTests,testBug1864222,org.jfree.data.time.TimeSeries,int
Chart_12_repairllama-ir4_patch_0.diff,repairllama,Correct,Chart,12,Chart/12,build,build-tests,tests,org.jfree.chart.plot.junit.MultiplePiePlotTests,testConstructor,org.jfree.chart.plot.MultiplePiePlot,int
Chart_26_repairllama-ir4_patch_3.diff,repairllama,Correct,Chart,26,Chart/26,build,build-tests,tests,org.jfree.chart.junit.AreaChartTests,testDrawWithNullInfo,org.jfree.chart.axis.Axis,int
Closure_13_repairllama-ir4_patch_6.diff,repairllama,Correct,Closure,13,Closure/13,build/classes:lib/*:build/lib/rhino.jar,build/test,test,com.google.javascript.jscomp.IntegrationTest,testIssue787,com.google.javascript.jscomp.PeepholeOptimizationsPass,java.lang.String
Math_50_repairllama-ir4_patch_4.diff,repairllama,Correct,Math,50,Math/50,target/classes,target/test-classes,src/test/java,org.apache.commons.math.analysis.solvers.RegulaFalsiSolverTest,testIssue631,org.apache.commons.math.analysis.solvers.BaseSecantSolver,int
Chart_7_repairllama-ir4_patch_1.diff,repairllama,Correct,Chart,7,Chart/7,build,build-tests,tests,org.jfree.data.time.junit.TimePeriodValuesTests,testGetMaxMiddleIndex,org.jfree.data.time.TimePeriodValues,long
Lang_51_repairllama-ir4_patch_2.diff,repairllama,Correct,Lang,51,Lang/51,target/classes,target/test-classes,src/test,org.apache.commons.lang.BooleanUtilsTest,test_toBoolean_String,org.apache.commons.lang.BooleanUtils,java.lang.String
Chart_4_repairllama-ir4_patch_8.diff,repairllama,Correct,Chart,4,Chart/4,build,build-tests,tests,org.jfree.chart.plot.junit.XYPlotTests,testDrawRangeGridlines,org.jfree.chart.plot.XYPlot,int
Lang_43_repairllama-ir4_patch_6.diff,repairllama,Correct,Lang,43,Lang/43,target/classes,target/test-classes,src/test,org.apache.commons.lang.text.ExtendedMessageFormatTest,testBuiltInDateTimeFormat,org.apache.commons.lang.text.ExtendedMessageFormat,int
Closure_57_repairllama-ir4_patch_1.diff,repairllama,Correct,Closure,57,Closure/57,build/classes:lib/*:build/lib/rhino.jar,build/test,test,com.google.javascript.jscomp.ClosureCodingConventionTest,testRequire,com.google.javascript.jscomp.ClosureCodingConvention,java.lang.String
Mockito_38_repairllama-ir4_patch_4.diff,repairllama,Correct,Mockito,38,Mockito/38,target/classes:lib/test/*:lib/sources/*:lib/repackaged/*:lib/run/*,target/test-classes,test,org.mockito.internal.verification.argumentmatching.ArgumentMatchingToolTest,shouldWorkFineWhenGivenArgIsNull,org.mockito.internal.matchers.Equals,int
Closure_13_repairllama-ir4_patch_0.diff,repairllama,Correct,Closure,13,Closure/13,build/classes:lib/*:build/lib/rhino.jar,build/test,test,com.google.javascript.jscomp.IntegrationTest,testIssue787,com.google.javascript.jscomp.PeepholeOptimizationsPass,java.lang.String
Math_34_repairllama-ir4_patch_2.diff,repairllama,Incorrect,Math,34,Math/34,target/classes,target/test-classes,src/test/java,org.apache.commons.math3.genetics.ListPopulationTest,testIterator,org.apache.commons.math3.genetics.ListPopulation,int
Math_32_repairllama-ir4_patch_9.diff,repairllama,Incorrect,Math,32,Math/32,target/classes,target/test-classes,src/test/java,org.apache.commons.math3.geometry.euclidean.threed.PolyhedronsSetTest,testIssue780,org.apache.commons.math3.geometry.euclidean.twod.PolygonsSet,int
Math_34_repairllama-ir4_patch_1.diff,repairllama,Incorrect,Math,34,Math/34,target/classes,target/test-classes,src/test/java,org.apache.commons.math3.genetics.ListPopulationTest,testIterator,org.apache.commons.math3.genetics.ListPopulation,int
Math_79_repairllama-ir4_patch_3.diff,repairllama,Incorrect,Math,79,Math/79,target/classes,target/test-classes,src/test/java,org.apache.commons.math.stat.clustering.KMeansPlusPlusClustererTest,testPerformClusterAnalysisDegenerate,org.apache.commons.math.stat.clustering.KMeansPlusPlusClusterer,int
Math_32_repairllama-ir4_patch_2.diff,repairllama,Incorrect,Math,32,Math/32,target/classes,target/test-classes,src/test/java,org.apache.commons.math3.geometry.euclidean.threed.PolyhedronsSetTest,testIssue780,org.apache.commons.math3.geometry.euclidean.twod.PolygonsSet,int
Math_50_repairllama-ir4_patch_5.diff,repairllama,Incorrect,Math,50,Math/50,target/classes,target/test-classes,src/test/java,org.apache.commons.math.analysis.solvers.RegulaFalsiSolverTest,testIssue631,org.apache.commons.math.analysis.solvers.BaseSecantSolver,int
Math_84_repairllama-ir4_patch_3.diff,repairllama,Incorrect,Math,84,Math/84,target/classes,target/test-classes,src/test/java,org.apache.commons.math.optimization.direct.MultiDirectionalTest,testMinimizeMaximize,org.apache.commons.math.optimization.direct.MultiDirectional,double
Lang_51_repairllama-ir4_patch_0.diff,repairllama,Incorrect,Lang,51,Lang/51,target/classes,target/test-classes,src/test,org.apache.commons.lang.BooleanUtilsTest,test_toBoolean_String,org.apache.commons.lang.BooleanUtils,java.lang.String
Math_85_repairllama-ir4_patch_9.diff,repairllama,Incorrect,Math,85,Math/85,target/classes,target/test-classes,src/test,org.apache.commons.math.distribution.NormalDistributionTest,testMath280,org.apache.commons.math.analysis.solvers.UnivariateRealSolverUtils,double
Time_7_repairllama-ir4_patch_9.diff,repairllama,Incorrect,Time,7,Time/7,target/classes,target/test-classes,src/test/java,org.joda.time.format.TestDateTimeFormatter,testParseInto_monthDay_feb29_newYork_startOfYear,org.joda.time.format.DateTimeParserBucket,int
Lang_43_repairllama-ir4_patch_9.diff,repairllama,Incorrect,Lang,43,Lang/43,target/classes,target/test-classes,src/test,org.apache.commons.lang.text.ExtendedMessageFormatTest,testBuiltInDateTimeFormat,org.apache.commons.lang.text.ExtendedMessageFormat,int
Lang_45_repairllama-ir4_patch_8.diff,repairllama,Incorrect,Lang,45,Lang/45,target/classes,target/test-classes,src/test,org.apache.commons.lang.WordUtilsTest,testAbbreviate,org.apache.commons.lang.WordUtils,java.lang.String
Chart_13_repairllama-ir4_patch_3.diff,repairllama,Incorrect,Chart,13,Chart/13,build,build-tests,tests,org.jfree.chart.block.junit.BorderArrangementTests,testSizingWithWidthConstraint,org.jfree.chart.block.BorderArrangement,double
Math_82_repairllama-ir4_patch_5.diff,repairllama,Incorrect,Math,82,Math/82,target/classes,target/test-classes,src/test/java,org.apache.commons.math.optimization.linear.SimplexSolverTest,testMath288,org.apache.commons.math.optimization.linear.SimplexSolver,double
Math_11_repairllama-ir4_patch_6.diff,repairllama,Incorrect,Math,11,Math/11,target/classes,target/test-classes,src/test/java,org.apache.commons.math3.distribution.MultivariateNormalDistributionTest,testUnivariateDistribution,org.apache.commons.math3.distribution.MultivariateNormalDistribution,double
Math_50_repairllama-ir4_patch_1.diff,repairllama,Incorrect,Math,50,Math/50,target/classes,target/test-classes,src/test/java,org.apache.commons.math.analysis.solvers.RegulaFalsiSolverTest,testIssue631,org.apache.commons.math.analysis.solvers.BaseSecantSolver,int
Math_95_repairllama-ir4_patch_6.diff,repairllama,Incorrect,Math,95,Math/95,target/classes,target/test-classes,src/test,org.apache.commons.math.distribution.FDistributionTest,testSmallDegreesOfFreedom,org.apache.commons.math.distribution.FDistributionImpl,double
Lang_43_repairllama-ir4_patch_1.diff,repairllama,Incorrect,Lang,43,Lang/43,target/classes,target/test-classes,src/test,org.apache.commons.lang.text.ExtendedMessageFormatTest,testBuiltInDateTimeFormat,org.apache.commons.lang.text.ExtendedMessageFormat,int
Math_30_repairllama-ir4_patch_5.diff,repairllama,Incorrect,Math,30,Math/30,target/classes,target/test-classes,src/test/java,org.apache.commons.math3.stat.inference.MannWhitneyUTestTest,testBigDataSet,org.apache.commons.math3.stat.inference.MannWhitneyUTest,double
Lang_43_repairllama-ir4_patch_5.diff,repairllama,Incorrect,Lang,43,Lang/43,target/classes,target/test-classes,src/test,org.apache.commons.lang.text.ExtendedMessageFormatTest,testBuiltInDateTimeFormat,org.apache.commons.lang.text.ExtendedMessageFormat,int
Chart_1_repairllama-ir4_patch_6.diff,repairllama,Incorrect,Chart,1,Chart/1,build,build-tests,tests,org.jfree.chart.renderer.category.junit.AbstractCategoryItemRendererTests,test2947660,org.jfree.chart.renderer.category.LineAndShapeRenderer,java.lang.String
Math_84_repairllama-ir4_patch_1.diff,repairllama,Incorrect,Math,84,Math/84,target/classes,target/test-classes,src/test/java,org.apache.commons.math.optimization.direct.MultiDirectionalTest,testMinimizeMaximize,org.apache.commons.math.optimization.direct.MultiDirectional,double
